Time,Pokhara Airport,Lumle,Begnas
18/04/2016,67.8,70.5,82.55
19/04/2016,56.1,58.8,71.25
20/04/2016,52.8,56.3,56.25
21/04/2016,52.05,57.5,60.4
22/04/2016,44.9,48.6,55.75
23/04/2016,47.35,37.8,65.8
24/04/2016,32.05,26.15,54.15
25/04/2016,31.45,28.4,53.3
26/04/2016,41.1,29.2,56.45
27/04/2016,47.85,31.45,59.85
28/04/2016,34.4,31.45,60.55
29/04/2016,30.6,18.65,45.3
30/04/2016,32.55,22,57.15
01/05/2016,31.25,19.4,59.2
02/05/2016,40.3,49.7,52.8
03/05/2016,66.65,62.8,60.6
04/05/2016,57.45,67.35,78.35
05/05/2016,76.25,70.05,65.2
06/05/2016,71.05,73.95,62.75
07/05/2016,67.1,81.8,74.1
08/05/2016,51.05,63.85,62.8
09/05/2016,53.15,66.9,59.7
10/05/2016,56.7,65,54.1
11/05/2016,57.05,64.1,58.8
12/05/2016,66.2,74.25,81
13/05/2016,79,78,81.15
14/05/2016,72.3,86.75,77.5
15/05/2016,87.3,84,87.9
16/05/2016,83.2,74.35,89.65
17/05/2016,78.9,80.85,71.95
18/05/2016,56.5,59.45,68.7
19/05/2016,64.35,79.6,64.85
20/05/2016,69.7,82.3,75.7
21/05/2016,71.8,92.15,79.55
22/05/2016,64.6,84.95,69.85
23/05/2016,69.85,68.65,77.05
24/05/2016,65.1,76.6,81.2
25/05/2016,81.4,93.35,64.3
26/05/2016,69.8,78.95,74.85
27/05/2016,68.1,80.8,86.95
28/05/2016,87.05,93.65,77.55
29/05/2016,76.55,82.8,77.15
30/05/2016,61.25,71.1,87.9
31/05/2016,71.95,83.05,73.05
01/06/2016,65.2,81.95,69.85
02/06/2016,65.2,91.55,82.3
03/06/2016,82.55,85.8,72.4
04/06/2016,74.5,76.4,86.6
05/06/2016,67.2,77.5,77.2
06/06/2016,81.05,85.4,85.9
07/06/2016,69.75,89.85,74
08/06/2016,66.7,70.2,90.2
09/06/2016,78.2,84.2,85.95
10/06/2016,66.7,79.25,77.3
