Time,Precipitation(mm)
2016-06-09 03:00,0.0
2016-06-10 03:00,42.0
2016-06-11 03:00,0.0
2016-06-12 03:00,96.0
2016-06-13 03:00,44.2
2016-06-14 03:00,96.8
2016-06-15 03:00,12.6
2016-06-16 03:00,16.4
2016-06-17 03:00,0.0
2016-06-18 03:00,12.8
2016-06-19 03:00,105.0
2016-06-20 03:00,36.6
2016-06-21 03:00,38.0
2016-06-22 03:00,14.8
2016-06-23 03:00,36.4
2016-06-24 03:00,52.0
2016-06-25 03:00,24.6
2016-06-26 03:00,10.0
2016-06-27 03:00,12.8
2016-06-28 03:00,4.0
2016-06-29 03:00,24.2
2016-06-30 03:00,38.0
2016-07-01 03:00,12.2
2016-07-02 03:00,70.0
2016-07-03 03:00,4.0
2016-07-04 03:00,88.0
2016-07-05 03:00,18.2
2016-07-06 03:00,6.0
2016-07-07 03:00,16.8
2016-07-08 03:00,14.2
2016-07-09 03:00,0.0
2016-07-10 03:00,130.0
2016-07-11 03:00,36.6
2016-07-12 03:00,90.2
2016-07-13 03:00,50.0
2016-07-14 03:00,12.4
2016-07-15 03:00,62.0
2016-07-16 03:00,42.8
2016-07-17 03:00,46.0
2016-07-18 03:00,12.0
2016-07-19 03:00,2.0
2016-07-20 03:00,50.6
2016-07-21 03:00,46.0
2016-07-22 03:00,20.8
2016-07-23 03:00,36.6
2016-07-24 03:00,40.0
2016-07-25 03:00,76.8
2016-07-26 03:00,140.0
2016-07-27 03:00,42.4
2016-07-28 03:00,4.0
2016-07-29 03:00,6.2
2016-07-30 03:00,4.0
2016-07-31 03:00,6.4
2016-08-01 03:00,6.4
2016-08-02 03:00,0.0
2016-08-03 03:00,2.6
2016-08-04 03:00,2.0
2016-08-05 03:00,0.0
2016-08-06 03:00,44.0
2016-08-07 03:00,38.2
2016-08-08 03:00,6.0
2016-08-09 03:00,0.0
2016-08-10 03:00,4.4
2016-08-11 03:00,6.8
2016-08-12 03:00,4.0
2016-08-13 03:00,4.2
2016-08-14 03:00,6.8
2016-08-15 03:00,8.6
2016-08-16 03:00,2.0
2016-08-17 03:00,42.0
2016-08-18 03:00,42.4
2016-08-19 03:00,16.8
2016-08-20 03:00,6.6
2016-08-21 03:00,0.0
2016-08-22 03:00,42.0
2016-08-23 03:00,0.0
2016-08-24 03:00,0.0
2016-08-25 03:00,0.0
2016-08-26 03:00,40.2
2016-08-27 03:00,0.0
2016-08-28 03:00,0.0
2016-08-29 03:00,2.8
2016-08-30 03:00,120.2
2016-08-31 03:00,50.4
2016-09-01 03:00,116.0
2016-09-02 03:00,46.4
2016-09-03 03:00,48.6
2016-09-04 03:00,66.2
2016-09-05 03:00,0.0
2016-09-06 03:00,0.0
2016-09-07 03:00,80.0
2016-09-08 03:00,140.0
2016-09-09 03:00,18.6
2016-09-10 03:00,140.0
2016-09-11 03:00,52.2
2016-09-12 03:00,0.0
2016-09-13 03:00,4.8
2016-09-14 03:00,6.6
2016-09-15 03:00,0.0
2016-09-16 03:00,12.4
2016-09-17 03:00,82.0
2016-09-18 03:00,140.0
2016-09-19 03:00,2.0
2016-09-20 03:00,126.8
2016-09-21 03:00,48.0
2016-09-22 03:00,4.0
2016-09-23 03:00,2.8
2016-09-24 03:00,42.0
2016-09-25 03:00,0.0
2016-09-26 03:00,6.2
2016-09-27 03:00,0.0
2016-09-28 03:00,8.4
2016-09-29 03:00,4.8
2016-09-30 03:00,0.0
2016-10-01 03:00,10.8
2016-10-02 03:00,36.0
2016-10-03 03:00,38.2
2016-10-04 03:00,0.0
2016-10-05 03:00,4.0
2016-10-06 03:00,46.0
2016-10-07 03:00,2.2
2016-10-08 03:00,36.0
2016-10-09 03:00,10.0
2016-10-10 03:00,80.2
2016-10-11 03:00,48.0
2016-10-12 03:00,0.0
2016-10-13 03:00,0.0
2016-10-14 03:00,0.0
2016-10-15 03:00,8.0
2016-10-16 03:00,0.0
2016-10-17 03:00,0.0
2016-10-18 03:00,0.0
2016-10-19 03:00,0.0
2016-10-20 03:00,0.0
2016-10-21 03:00,0.0
2016-10-22 03:00,0.0
2016-10-23 03:00,0.0
2016-10-24 03:00,0.0
2016-10-25 03:00,0.0
2016-10-26 03:00,0.0
2016-10-27 03:00,0.0
2016-10-28 03:00,0.0
2016-10-29 03:00,0.0
2016-10-30 03:00,0.0
2016-10-31 03:00,0.0
2016-11-01 03:00,0.0
2016-11-02 03:00,0.0
2016-11-03 03:00,0.0
2016-11-04 03:00,0.0
2016-11-05 03:00,0.0
2016-11-06 03:00,0.0
2016-11-07 03:00,0.0
2016-11-08 03:00,0.0
2016-11-09 03:00,0.0
2016-11-10 03:00,0.0
2016-11-11 03:00,0.0
2016-11-12 03:00,0.0
2016-11-13 03:00,0.0
2016-11-14 03:00,0.0
2016-11-15 03:00,0.0
2016-11-16 03:00,0.0
2016-11-17 03:00,0.0
2016-11-18 03:00,0.0
2016-11-19 03:00,0.0
2016-11-20 03:00,0.0
2016-11-21 03:00,0.0
2016-11-22 03:00,0.0
2016-11-23 03:00,0.0
2016-11-24 03:00,0.0
2016-11-25 03:00,0.0
2016-11-26 03:00,0.0
2016-11-27 03:00,0.0
2016-11-28 03:00,0.0
2016-11-29 03:00,0.0
2016-11-30 03:00,0.0
2016-12-01 03:00,0.0
2016-12-02 03:00,0.0
2016-12-03 03:00,0.0
2016-12-04 03:00,0.0
2016-12-05 03:00,0.0
2016-12-06 03:00,0.0
2016-12-07 03:00,0.0
2016-12-08 03:00,0.0
2016-12-09 03:00,0.0
2016-12-10 03:00,0.0
2016-12-11 03:00,0.0
2016-12-12 03:00,0.0
2016-12-13 03:00,0.0
2016-12-14 03:00,0.0
2016-12-15 03:00,0.0
2016-12-16 03:00,0.0
2016-12-17 03:00,0.0
