Date,2015,2016,2017,2018,2019,2020,2021,2022
07-Dec,0,0,0,0,0,0,4.6,
08-Dec,0,0,0,0,0,0,0,
09-Dec,0,0,0,0,0,0,0,
10-Dec,0,0,0,0,0,0,0,
11-Dec,0,0,0,0,0,0,0,
12-Dec,0,0,0,0,0,0,0,
13-Dec,0,0,0,0,0,0,0,
14-Dec,0,0,0,0,39.6,0,0,
15-Dec,0,0,0,0,0,0,0,
16-Dec,0,0,0,0,0,0,0,
17-Dec,0,0,0,0,0,0,0,
18-Dec,0,0,0,0,0,0,0,
19-Dec,0,0,0,0,0,0,0,
20-Dec,0,0,0,0,0,0,0,
21-Dec,0,0,0,0,0,0,0,
22-Dec,0,0,0,0,0,0,0,
23-Dec,0,0,0,0,0,0,0,
24-Dec,0,0,0,0,0,0,0,
25-Dec,0,0,0,0,0,0,0,
26-Dec,0,0,0,0,0,0,0,
27-Dec,0,0,0,0,0,0,0,
28-Dec,0,0,0,0,0,0,0,
29-Dec,0,0,0,0,0,0,6.5,
30-Dec,0,0,0,0,0,0,31.3,
31-Dec,0,0,0,0,0,0,0.1,
