Time,Pokhara Airport,Lumle,Begnas,Lamachour
02/09/2016 3:00,0,3.5,0,0
02/10/2016 3:00,0,0,0,0
02/11/2016 3:00,0,0,0,0
02/12/2016 3:00,0,0,0,0
02/13/2016 03:00:00,0,0,0,0
02/14/2016 03:00:00,0,0,0,0
02/15/2016 03:00:00,0,0,0,0
02/16/2016 03:00:00,0,0,0,0
02/17/2016 03:00:00,0,0,0,0
02/18/2016 03:00:00,0,0,0,0
02/19/2016 03:00:00,0,0,0,0
02/20/2016 03:00:00,0,0,0,0
02/21/2016 03:00:00,0,0,0,0
02/22/2016 03:00:00,0,0,0,0
02/23/2016 03:00:00,0,0,0,0
02/24/2016 03:00:00,0,0,0,0
02/25/2016 03:00:00,0,0.7,0,2.6
02/26/2016 03:00:00,0,0,0,0
02/27/2016 03:00:00,0,2,0,0
02/28/2016 03:00:00,0,3.7,0,0
02/29/2016 03:00:00,0,0.2,0,0
03/01/2016 3:00,0,0,0,0
03/02/2016 3:00,0,0,0,0
03/03/2016 3:00,3.8,2,0,0
03/04/2016 3:00,0.4,6.2,0,2
03/05/2016 3:00,3.4,2.4,0,2.6
03/06/2016 3:00,20.8,16.5,34.6,30
03/07/2016 3:00,8.1,1,2.6,0
03/08/2016 3:00,0.2,0,0,0
03/09/2016 3:00,0,0,3,0
03/10/2016 3:00,0,0,0,0
03/11/2016 3:00,0,0,0,0
03/12/2016 3:00,0,0,0,0
03/13/2016 03:00:00,0,0,0,0
03/14/2016 03:00:00,2.8,0.4,0,10.2
03/15/2016 03:00:00,1.3,0.2,2.1,4.2
03/16/2016 03:00:00,0,0,0,0
03/17/2016 03:00:00,0,0,0,0
03/18/2016 03:00:00,0,0,0,0
03/19/2016 03:00:00,0,0,0,0
03/20/2016 03:00:00,0,0,0,0
03/21/2016 03:00:00,0,0,2,0
03/22/2016 03:00:00,0,0,0,0
03/23/2016 03:00:00,0,0,0,0
03/24/2016 03:00:00,0,0,0,0
03/25/2016 03:00:00,0,0,0,0
03/26/2016 03:00:00,0,0,0,0
03/27/2016 03:00:00,0,0,0,0
03/28/2016 03:00:00,0.9,14,0,20.8
03/29/2016 03:00:00,15.3,3.5,11.7,10.4
