,Time,Pokhara Airport,Lumle,Begnas,Lamachour
251,2015-09-09 03:00:00,8.5,9.4,0.0,8.0
252,2015-09-10 03:00:00,0.0,11.2,0.0,0.0
253,2015-09-11 03:00:00,2.9,26.5,5.0,2.8
254,2015-09-12 03:00:00,51.1,30.2,96.8,50.0
255,2015-09-13 03:00:00,10.8,7.6,10.9,10.2
256,2015-09-14 03:00:00,53.4,88.8,29.0,44.0
257,2015-09-15 03:00:00,130.2,64.6,46.3,70.4
258,2015-09-16 03:00:00,0.0,0.0,0.0,0.0
259,2015-09-17 03:00:00,0.0,1.0,0.0,0.0
260,2015-09-18 03:00:00,0.0,6.6,0.0,0.0
261,2015-09-19 03:00:00,0.0,0.0,0.0,0.0
262,2015-09-20 03:00:00,58.4,21.5,22.2,30.6
263,2015-09-21 03:00:00,0.0,13.2,0.0,0.0
264,2015-09-22 03:00:00,61.0,48.9,24.8,116.0
265,2015-09-23 03:00:00,23.4,19.8,73.4,20.4
266,2015-09-24 03:00:00,9.5,12.0,1.8,10.0
267,2015-09-25 03:00:00,90.5,65.3,1.8,120.2
268,2015-09-26 03:00:00,1.2,39.0,0.0,2.8
269,2015-09-27 03:00:00,0.0,0.0,0.0,0.0
270,2015-09-28 03:00:00,0.2,0.8,0.0,16.0
271,2015-09-29 03:00:00,0.0,0.4,0.0,2.8
272,2015-09-30 03:00:00,0.0,0.0,0.0,0.0
273,2015-10-01 03:00:00,0.0,0.8,0.0,0.0
274,2015-10-02 03:00:00,78.4,0.0,2.6,30.0
275,2015-10-03 03:00:00,4.1,4.0,0.0,10.8
276,2015-10-04 03:00:00,0.0,0.0,0.0,0.0
277,2015-10-05 03:00:00,0.0,0.0,0.0,0.0
278,2015-10-06 03:00:00,0.0,0.0,0.0,0.0
279,2015-10-07 03:00:00,0.0,0.0,0.0,0.0
280,2015-10-08 03:00:00,0.0,0.0,0.0,0.0
281,2015-10-09 03:00:00,0.0,0.0,0.0,0.0
282,2015-10-10 03:00:00,19.0,0.0,0.0,0.0
283,2015-10-11 03:00:00,0.0,61.6,0.0,0.0
284,2015-10-12 03:00:00,33.1,21.0,20.4,0.0
285,2015-10-13 03:00:00,0.0,0.0,0.0,0.0
286,2015-10-14 03:00:00,0.0,0.0,0.0,0.0
287,2015-10-15 03:00:00,38.9,10.0,34.5,12.8
288,2015-10-16 03:00:00,0.6,1.2,0.0,0.0
289,2015-10-17 03:00:00,16.2,4.7,22.6,32.8
290,2015-10-18 03:00:00,0.0,0.0,0.0,0.0
291,2015-10-19 03:00:00,0.0,0.0,0.0,0.0
292,2015-10-20 03:00:00,0.0,0.0,0.0,0.0
293,2015-10-21 03:00:00,0.0,13.0,0.0,2.0
294,2015-10-22 03:00:00,1.4,0.0,0.0,0.0
295,2015-10-23 03:00:00,0.0,0.0,0.0,0.0
296,2015-10-24 03:00:00,5.1,0.0,2.0,12.0
297,2015-10-25 03:00:00,0.0,0.0,0.0,0.0
298,2015-10-26 03:00:00,0.0,0.0,0.0,0.0
299,2015-10-27 03:00:00,0.0,0.0,0.0,0.0
300,2015-10-28 03:00:00,0.0,0.0,0.0,0.0
301,2015-10-29 03:00:00,13.3,15.4,9.8,8.4
302,2015-10-30 03:00:00,5.1,12.0,5.2,4.0
303,2015-10-31 03:00:00,0.0,0.0,0.0,0.0
304,2015-11-01 03:00:00,0.0,0.0,0.0,0.0
305,2015-11-02 03:00:00,0.0,0.0,0.0,0.0
306,2015-11-03 03:00:00,2.1,0.0,0.0,24.6
307,2015-11-04 03:00:00,0.8,0.0,0.0,16.0
308,2015-11-05 03:00:00,0.0,0.0,0.0,0.0
309,2015-11-06 03:00:00,0.0,0.0,0.0,10.0
310,2015-11-07 03:00:00,0.0,0.0,0.0,0.0
311,2015-11-08 03:00:00,0.0,0.0,0.0,0.0
312,2015-11-09 03:00:00,0.0,0.0,0.0,0.0
313,2015-11-10 03:00:00,0.0,0.0,0.0,0.0
314,2015-11-11 03:00:00,0.0,0.0,0.0,0.0
315,2015-11-12 03:00:00,0.0,0.0,0.0,0.0
316,2015-11-13 03:00:00,0.0,0.0,0.0,0.0
317,2015-11-14 03:00:00,0.0,0.0,0.0,0.0
318,2015-11-15 03:00:00,0.0,0.0,0.0,0.0
319,2015-11-16 03:00:00,0.0,0.0,0.0,0.0
320,2015-11-17 03:00:00,0.0,0.0,0.0,0.0
321,2015-11-18 03:00:00,0.0,0.0,0.0,2.0
322,2015-11-19 03:00:00,0.0,0.0,0.0,0.0
323,2015-11-20 03:00:00,0.0,0.0,0.0,0.0
324,2015-11-21 03:00:00,0.0,0.0,0.0,0.0
325,2015-11-22 03:00:00,0.0,0.0,0.0,0.0
326,2015-11-23 03:00:00,0.0,0.0,0.0,0.0
327,2015-11-24 03:00:00,0.0,0.0,0.0,0.0
328,2015-11-25 03:00:00,0.0,0.0,0.0,0.0
329,2015-11-26 03:00:00,0.0,0.0,0.0,0.0
330,2015-11-27 03:00:00,0.0,0.0,0.0,0.0
331,2015-11-28 03:00:00,0.0,0.0,0.0,0.0
332,2015-11-29 03:00:00,0.0,0.0,0.0,0.0
333,2015-11-30 03:00:00,0.0,0.0,0.0,0.0
334,2015-12-01 03:00:00,0.0,0.0,0.0,0.0
335,2015-12-02 03:00:00,0.0,0.0,0.0,0.0
336,2015-12-03 03:00:00,0.0,0.0,0.0,0.0
337,2015-12-04 03:00:00,0.0,0.0,0.0,0.0
338,2015-12-05 03:00:00,0.0,0.0,0.0,0.0
339,2015-12-06 03:00:00,0.0,0.0,0.0,0.0
340,2015-12-07 03:00:00,0.0,0.0,0.0,0.0
341,2015-12-08 03:00:00,0.0,0.0,0.0,0.0
342,2015-12-09 03:00:00,0.0,0.0,0.0,0.0
343,2015-12-10 03:00:00,0.0,0.0,0.0,0.0
344,2015-12-11 03:00:00,0.0,0.0,0.0,0.0
345,2015-12-12 03:00:00,0.0,0.0,0.0,0.0
346,2015-12-13 03:00:00,0.0,0.0,0.0,0.0
347,2015-12-14 03:00:00,0.0,0.0,0.0,0.0
348,2015-12-15 03:00:00,0.0,0.0,0.0,0.0
349,2015-12-16 03:00:00,0.0,0.0,0.0,0.0
350,2015-12-17 03:00:00,0.0,0.0,0.0,0.0
351,2015-12-18 03:00:00,0.0,0.0,0.0,0.0
352,2015-12-19 03:00:00,0.0,0.0,0.0,0.0
353,2015-12-20 03:00:00,0.0,0.0,0.0,0.0
354,2015-12-21 03:00:00,0.0,0.0,0.0,0.0
355,2015-12-22 03:00:00,0.0,0.0,0.0,0.0
356,2015-12-23 03:00:00,0.0,0.0,0.0,0.0
357,2015-12-24 03:00:00,0.0,0.0,0.0,0.0
358,2015-12-25 03:00:00,0.0,0.0,0.0,0.0
359,2015-12-26 03:00:00,0.0,0.0,0.0,0.0
360,2015-12-27 03:00:00,0.0,0.0,0.0,0.0
361,2015-12-28 03:00:00,0.0,0.0,0.0,0.0
362,2015-12-29 03:00:00,0.0,0.0,0.0,0.0
363,2015-12-30 03:00:00,0.0,0.0,0.0,0.0
364,2015-12-31 03:00:00,0.0,0.0,0.0,0.0
365,2016-01-01 03:00:00,0.0,0.0,0.0,0.0
366,2016-01-02 03:00:00,0.0,0.0,0.0,0.0
367,2016-01-03 03:00:00,0.0,0.0,0.0,0.0
368,2016-01-04 03:00:00,0.0,0.0,0.0,0.0
369,2016-01-05 03:00:00,0.0,0.0,0.0,0.0
370,2016-01-06 03:00:00,0.0,0.0,0.0,0.0
371,2016-01-07 03:00:00,0.0,0.0,0.0,0.0
372,2016-01-08 03:00:00,0.0,0.0,0.0,0.0
373,2016-01-09 03:00:00,0.1,0.0,0.0,10.0
374,2016-01-10 03:00:00,0.0,0.0,0.0,0.0
375,2016-01-11 03:00:00,0.0,0.0,0.0,0.0
376,2016-01-12 03:00:00,0.0,0.0,0.0,0.0
377,2016-01-13 03:00:00,0.0,0.0,0.0,0.0
378,2016-01-14 03:00:00,0.0,0.0,0.0,0.0
379,2016-01-15 03:00:00,0.0,0.0,0.0,0.0
380,2016-01-16 03:00:00,0.0,0.0,0.0,0.0
381,2016-01-17 03:00:00,0.0,0.0,0.0,0.0
382,2016-01-18 03:00:00,0.0,0.0,0.0,0.0
