Time,Pokhara Airport,Lumle,Begnas,Lamachour,Date
04/05/2015 3:00,3,7.5,1.3,4,2015
04/06/2015 3:00,0,0,0,0,2015
04/07/2015 3:00,0,0,0,0,2015
04/08/2015 3:00,0,0,0,0,2015
04/09/2015 3:00,0,0,0,0,2015
04/10/2015 3:00,0,0,0,0,2015
04/11/2015 3:00,0.1,0,0,4.2,2015
04/12/2015 3:00,0,4.5,0,0,2015
04/13/2015 03:00:00,16.1,19.6,9.2,8,2015
04/14/2015 03:00:00,2.7,2.4,3.6,4,2015
04/15/2015 03:00:00,0,0.5,0,0,2015
04/16/2015 03:00:00,0,0,0,0,2015
04/17/2015 03:00:00,0,0,0,0,2015
04/18/2015 03:00:00,0.4,4,1,0,2015
04/19/2015 03:00:00,0.4,0.4,0,0,2015
04/20/2015 03:00:00,0,1.6,0,10.6,2015
04/21/2015 03:00:00,0,0,3.2,0,2015
04/22/2015 03:00:00,25.4,0,14.8,4.4,2015
04/23/2015 03:00:00,24.7,9.6,27.2,6,2015
04/24/2015 03:00:00,0,1,0,0,2015
04/25/2015 03:00:00,1.4,2.4,0,2,2015
04/26/2015 03:00:00,0,6.7,0,6.2,2015
04/27/2015 03:00:00,0,0,4,0,2015
04/28/2015 03:00:00,0,0,1.2,0,2015
04/29/2015 03:00:00,15.1,5.5,0,4,2015
04/30/2015 03:00:00,38.2,17.6,30,30.6,2015
05/01/2015 3:00,0.7,8.5,0,2.2,2015
05/02/2015 3:00,0,0,2,0,2015
05/03/2015 3:00,13.5,41,44.3,10.8,2015
05/04/2015 3:00,0,0.2,0,0,2015
05/05/2015 3:00,0,19,0,0,2015
05/06/2015 3:00,0,1,0,0,2015
