Time,Precipitation(mm)
04/01/2016 3:00,0
05/01/2016 3:00,0
06/01/2016 3:00,0
07/01/2016 3:00,0
08/01/2016 3:00,0
09/01/2016 3:00,10
10/01/2016 3:00,0
11/01/2016 3:00,0
12/01/2016 3:00,0
13/01/2016 3:00,0
14/01/2016 3:00,0
15/01/2016 3:00,0
16/01/2016 3:00,0
17/01/2016 3:00,0
18/01/2016 3:00,0
19/01/2016 3:00,0
20/01/2016 3:00,0
21/01/2016 3:00,0
22/01/2016 3:00,0
23/01/2016 3:00,0
24/01/2016 3:00,0
25/01/2016 3:00,0
26/01/2016 3:00,0
27/01/2016 3:00,0
28/01/2016 3:00,0
29/01/2016 3:00,0
30/01/2016 3:00,0
31/01/2016 3:00,0
01/02/2016 3:00,0
02/02/2016 3:00,0
03/02/2016 3:00,0
04/02/2016 3:00,0
05/02/2016 3:00,0
06/02/2016 3:00,0
07/02/2016 3:00,0
08/02/2016 3:00,0
09/02/2016 3:00,0
10/02/2016 3:00,0
11/02/2016 3:00,0
12/02/2016 3:00,0
13/02/2016 3:00,0
14/02/2016 3:00,0
15/02/2016 3:00,0
16/02/2016 3:00,0
17/02/2016 3:00,0
18/02/2016 3:00,0
19/02/2016 3:00,0
20/02/2016 3:00,0
21/02/2016 3:00,0
22/02/2016 3:00,0
23/02/2016 3:00,0
24/02/2016 3:00,0
25/02/2016 3:00,2.6
26/02/2016 3:00,0
27/02/2016 3:00,0
28/02/2016 3:00,0
29/02/2016 3:00,0
01/03/2016 3:00,0
02/03/2016 3:00,0
03/03/2016 3:00,0
04/03/2016 3:00,2
05/03/2016 3:00,2.6
06/03/2016 3:00,30
07/03/2016 3:00,0
08/03/2016 3:00,0
09/03/2016 3:00,0
10/03/2016 3:00,0
11/03/2016 3:00,0
12/03/2016 3:00,0
13/03/2016 3:00,0
14/03/2016 3:00,10.2
15/03/2016 3:00,4.2
16/03/2016 3:00,0
17/03/2016 3:00,0
18/03/2016 3:00,0
19/03/2016 3:00,0
20/03/2016 3:00,0
21/03/2016 3:00,0
22/03/2016 3:00,0
23/03/2016 3:00,0
24/03/2016 3:00,0
25/03/2016 3:00,0
26/03/2016 3:00,0
27/03/2016 3:00,0
28/03/2016 3:00,20.8
29/03/2016 3:00,10.4
30/03/2016 3:00,0
31/03/2016 3:00,10
01/04/2016 3:00,0
02/04/2016 3:00,8.8
03/04/2016 3:00,0
04/04/2016 3:00,0
05/04/2016 3:00,0
06/04/2016 3:00,2.4
07/04/2016 3:00,0
